id	parent	name	content	isDifficult	isModelling
root		Root	F	F
4,2	4	Similarity, right triangles	Similarity, Right Triangles, and Trigonometry	F	F
1,1	1	Real numbers	The Real Number System	F	F
1,1,1	1,1	Rational exponents	Extend the properties of exponents to rational exponents.	F	F
1,1,1,1	1,1,1	Justify rational exponents	Explain how the definition of rational exponents follows from extending the properties of integer exponents to those values, allowing for a notation for radicals in terms of rational exponents. For example, we define 51/3 to be the cube root of S because we want (51/3)3 = 5(1/3)3 to hold, so (51/3)3 must equal 5.	F	F
1,1,1,2	1,1,1	Manipulate radicals	Rewrite expressions involving radicals and rational exponents using the properties of exponents.	F	F
1,1,2	1,1	Rational and irrational no.’s	Use properties of rational and irrational numbers.	F	F
1,1,2,1	1,1,2	Closure of rationals	Explain why the sum or product of two rational numbers is rational; that the sum of a rational number and an irrational number is irrational; and that the product of a nonzero rational number and an irrational number is irrational.	F	F
1,2	1	Quantities	Quantities	F	T
1,2,1	1,2	Use units	Reason quantitatively and use units to solve problems.	F	T
1,2,1,1	1,2,1	Units hint at solutions	Use units as a way to understand problems and to guide the solution of multi-step problems; choose and interpret units consistently in formulas; choose and interpret the scale and the origin in graphs and data displays.	F	T
1,2,1,2	1,2,1	Model quantities appropriately	Define appropriate quantities for the purpose of descriptive modeling.	F	T
1,2,1,3	1,2,1	Accuracy and sig. figs.	Choose a level of accuracy appropriate to limitations on measurement when reporting quantities.	F	T
1,3	1	Complex numbers	The Complex Number System	F	F
1,3,1	1,3	Complex arithmetic	Perform arithmetic operations with complex numbers.	F	F
1,3,1,1	1,3,1	Definition of i	Know there is a complex number i such that i2 = -1, and every complex number has the form a+bi with a and b real.	F	F
1,3,1,2	1,3,1	Define arithmetic ops	Use the relation i2 = —1 and the commutative, associative, and distributive properties to add, subtract, and multiply complex numbers.	F	F
1,3,1,3	1,3,1	Complex conjugate	Find the conjugate of a complex number; use conjugates to find moduli and quotients of complex numbers.	T	F
1,3,2	1,3	Complex plane	Represent complex numbers and their operations on the complex plane.	F	F
1,3,2,1	1,3,2	Interpret plane points	Represent complex numbers on the complex plane in rectangular and polar form {including real and imaginary numbers), and explain why the rectangular and polar forms of a given complex number represent the same number.	T	F
